weeks,year,temp_num_max_max,temp_num_max_min,temp_num_max_mean,temp_num_min_max,temp_num_min_min,temp_num_min_mean,temp_num_mean_max,temp_num_mean_min,temp_num_mean_mean,feels_num_max_max,feels_num_max_min,feels_num_max_mean,feels_num_min_max,feels_num_min_min,feels_num_min_mean,feels_num_mean_max,feels_num_mean_min,feels_num_mean_mean,gust_num_max_max,gust_num_max_min,gust_num_max_mean,gust_num_min_max,gust_num_min_min,gust_num_min_mean,gust_num_mean_max,gust_num_mean_min,gust_num_mean_mean,rain_num_max_max,rain_num_max_min,rain_num_max_mean,rain_num_min_max,rain_num_min_min,rain_num_min_mean,rain_num_mean_max,rain_num_mean_min,rain_num_mean_mean,humid_num_max_max,humid_num_max_min,humid_num_max_mean,humid_num_min_max,humid_num_min_min,humid_num_min_mean,humid_num_mean_max,humid_num_mean_min,humid_num_mean_mean,cloud_num_max_max,cloud_num_max_min,cloud_num_max_mean,cloud_num_min_max,cloud_num_min_min,cloud_num_min_mean,cloud_num_mean_max,cloud_num_mean_min,cloud_num_mean_mean,illum_max,illum_min,illum_mean,Ah1n1,Ah3,B,Label_AH1N1,Label_AH3,Label_B
25,2011,32,28,30.42857143,25,24,24.28571429,27.5,25.625,26.69642857,37,32,35.85714286,29,27,27.85714286,32,28.875,30.91071429,32,24,28.28571429,20,14,16.42857143,25,18.875,21.76785714,6.9,0,2.414285714,0,0,0,1.725,0,0.592857143,96,91,94,78,62,68.85714286,87.625,81.125,84.57142857,95,51,78.14285714,51,7,33.85714286,75.375,35,56.05357143,97,55,76,5,0,0,normal,normal,normal
26,2011,33,30,31.71428571,26,24,25,28.125,26.75,27.53571429,41,37,38.42857143,30,28,28.85714286,33.875,31.625,32.66071429,26,17,21.14285714,18,2,9.142857143,22.5,10.375,14.16071429,8.1,0,2.971428571,0,0,0,1.3375,0,0.557142857,94,89,91.28571429,70,57,63.71428571,84.75,76.625,81.39285714,92,65,79.42857143,27,5,17.71428571,58.75,23.875,42.42857143,97,48,75,4,0,8,warning,normal,normal
27,2011,32,28,31.28571429,25,24,24.28571429,27.625,26.125,27.14285714,40,35,38,29,28,28.28571429,32.875,31,32.08928571,29,16,21.57142857,12,3,6.571428571,17.75,9.875,12.66071429,8,0.4,4.028571429,0,0,0,1.2875,0.075,0.669642857,96,94,94.57142857,85,60,65,91.875,80.875,83.69642857,100,51,83.71428571,31,12,23.57142857,66.75,23.75,48.16071429,41,0,20.71428571,12,0,2,warning,normal,normal
28,2011,31,30,30.85714286,24,24,24,27.25,26.375,26.85714286,38,37,37.57142857,28,27,27.71428571,32.375,31.25,31.73214286,32,16,21.85714286,13,7,10.57142857,19.375,12.625,15.625,6.2,0.1,2.271428571,0,0,0,0.775,0.0125,0.317857143,98,92,94.85714286,73,66,70.28571429,87.625,82.5,85.44642857,100,69,84.28571429,37,10,23.14285714,65.25,40.125,51.30357143,41,0,20.71428571,15,0,1,warning,normal,normal
29,2011,33,31,32,24,23,23.85714286,27.875,26.625,27.23214286,40,37,38.14285714,28,27,27.71428571,33,31,32.03571429,31,19,23.28571429,13,7,11,18,13,15.78571429,4.4,0.3,1.757142857,0,0,0,0.7375,0.0375,0.291071429,96,92,94.14285714,69,56,62,83.5,79.25,82,100,40,55.57142857,24,8,14.14285714,65.375,24.75,33.125,90,48,69,26,0,1,danger,normal,normal
30,2011,32,30,30.85714286,25,23,23.85714286,27.125,26.125,26.55357143,38,35,37,28,26,27,32,29.625,30.94642857,32,17,23.42857143,16,4,9.285714286,22.5,12,15.73214286,8.1,0,4.4,0,0,0,1.45,0,0.728571429,96,92,94.28571429,74,61,68.85714286,87.875,80.875,85.53571429,100,56,81.28571429,44,25,36.14285714,63.625,41.75,54.57142857,97,62,82,20,0,1,warning,normal,normal
31,2011,33,28,31.28571429,25,23,24.28571429,28.125,25.375,27.16071429,41,32,37.71428571,30,27,28.28571429,34.375,28.875,32.19642857,32,15,21.42857143,16,4,9.857142857,21.75,10.25,14.625,5.5,0.3,1.814285714,0,0,0,1.0875,0.075,0.360714286,96,93,94.14285714,76,59,65.71428571,89,80.875,83.53571429,89,39,62,37,10,23.71428571,63.25,21.375,43.03571429,55,14,34.42857143,18,0,2,warning,normal,normal
32,2011,32,29,30.28571429,25,24,24.42857143,27.5,26.125,26.80357143,39,34,36.28571429,29,27,28.14285714,32.5,30.375,31.28571429,24,18,20.42857143,13,2,9.428571429,17.625,12.75,15.19642857,11,0,4.171428571,0,0,0,1.575,0,0.7375,96,90,93.71428571,80,63,69.42857143,89.625,80.875,84.73214286,100,69,84,47,14,28.57142857,69.625,31.5,50.19642857,28,0,11,28,0,1,danger,normal,normal
33,2011,33,29,31.57142857,25,24,24.28571429,28,26,27.25,42,34,38.28571429,29,27,28,33.375,30.125,32.17857143,22,11,16.28571429,10,1,4.714285714,12.125,7.625,9.75,6.6,0,1.3,0,0,0,0.825,0,0.1625,94,89,91.28571429,73,57,61.28571429,83.875,77.125,79.92857143,99,43,61.28571429,30,15,19.85714286,54.125,25,35.26785714,76,34,55,23,1,6,warning,normal,normal
34,2011,33,32,32.42857143,25,25,25,28.125,27.375,27.73214286,42,40,41,30,29,29.14285714,34.625,32.75,33.55357143,27,12,18.57142857,9,0,4.142857143,13.375,7,9.910714286,11.1,2.4,5.942857143,0,0,0,2.7625,0.325,1.098214286,95,91,93.57142857,66,58,63.42857143,85.5,77.75,82.58928571,100,54,78.57142857,36,10,21,66.125,32.875,44.69642857,97,76,88,19,1,3,warning,normal,normal
35,2011,31,28,30,25,24,24.14285714,27.125,25.75,26.5,37,32,36,29,27,27.71428571,31.625,29.5,30.92857143,31,17,23.28571429,13,3,10.42857143,20.125,10.5,16.25,10.4,1.3,3.742857143,0,0,0,1.75,0.35,0.726785714,97,91,95.28571429,81,64,71.71428571,91.25,81.5,86.58928571,100,41,73.14285714,65,14,31.85714286,83.5,27.125,51.16071429,69,21,46.28571429,31,0,2,danger,normal,normal
36,2011,31,29,30.71428571,24,24,24,27.125,25.75,26.64285714,39,35,37.57142857,29,27,27.85714286,32.125,30.25,31.41071429,25,17,20.71428571,13,5,9.571428571,16.75,11.125,13.98214286,7.6,0.9,4.385714286,0,0,0,1.45,0.1875,0.669642857,95,93,94.42857143,76,65,69.42857143,89.375,82.375,86.17857143,100,43,85.85714286,42,25,31.71428571,62.625,34.875,52.19642857,21,0,9,21,0,1,warning,normal,normal
37,2011,32,27,30.42857143,25,23,23.85714286,27.75,25.375,26.71428571,40,32,36.71428571,29,27,27.71428571,33.375,29.125,31.60714286,24,12,17.57142857,13,4,7.714285714,18.625,8.375,12.96428571,4.4,0,1.328571429,0,0,0,0.6375,0,0.221428571,97,92,94.28571429,83,63,70.42857143,90.75,81.375,85.35714286,100,31,68.57142857,42,10,22.57142857,79.375,20.625,45.96428571,69,28,48.14285714,16,1,4,warning,normal,normal
38,2011,31,29,30,24,23,23.71428571,27.25,25.5,26.32142857,40,33,36.57142857,28,26,27.42857143,32.625,29,30.83928571,35,19,24.28571429,14,9,11.28571429,19.75,13.25,16.125,5.2,0.6,2.557142857,0,0,0,0.65,0.075,0.421428571,98,95,96,79,69,73.85714286,89.25,85.25,87.30357143,100,48,76.71428571,52,26,37.57142857,73.125,41.5,57.28571429,97,76,88,23,1,2,warning,normal,normal
39,2011,32,28,29.71428571,24,23,23.57142857,26.875,25.25,26.17857143,38,32,34.85714286,28,26,26.85714286,31.75,28.75,30.17857143,27,16,23,18,10,13.71428571,21.625,13.125,18.05357143,2.9,0,1.857142857,0,0,0,0.7,0,0.380357143,96,94,95,81,60,71.14285714,90,82.125,85.58928571,100,56,80.14285714,48,18,32.28571429,78.625,30.625,55.73214286,76,34,55,28,0,9,danger,normal,normal
40,2011,31,29,30,24,24,24,26.75,25.75,26.30357143,38,35,36.71428571,28,27,27.28571429,32.125,30.25,31.17857143,22,10,17.14285714,9,2,6.142857143,13.875,6.25,10.57142857,18.1,1.8,6.171428571,0,0,0,4.9875,0.3125,1.305357143,98,96,97,80,70,75,92.375,85.75,89.125,100,55,81.71428571,53,23,37.42857143,79.625,35.875,58.64285714,28,0,11,20,5,7,warning,normal,normal
41,2011,31,29,29.57142857,24,23,23.71428571,26.625,25.75,26.17857143,38,35,36.42857143,28,27,27.42857143,31.625,30.75,31.14285714,25,8,16.28571429,8,1,3.714285714,14.75,5.125,9.267857143,7.7,1.6,3.514285714,0,0,0,1.9,0.4,0.725,97,96,96.28571429,81,71,76.42857143,91.625,86.875,89.23214286,100,79,91,54,26,39.14285714,68.875,46.25,59.17857143,55,14,34.42857143,19,1,5,warning,normal,normal
42,2011,32,30,31.14285714,24,23,23.71428571,27,26.5,26.71428571,42,37,39.71428571,28,27,27.57142857,32.875,31.125,32.30357143,16,10,13,5,3,3.571428571,10.25,5.75,8.267857143,5.1,0.5,2.785714286,0,0,0,0.6375,0.0875,0.367857143,97,92,95,74,67,69.85714286,87.375,83.875,86.08928571,100,27,53.71428571,34,10,18.42857143,63.625,19.875,33.42857143,97,62,82,14,1,4,warning,normal,normal
43,2011,32,31,31.57142857,24,23,23.42857143,27.25,26.625,26.89285714,42,39,40.28571429,28,27,27.71428571,32.875,32.25,32.69642857,28,11,15.71428571,6,1,2.714285714,9.5,5.875,7.678571429,4.2,0,1.514285714,0,0,0,0.5375,0,0.2,95,92,93,68,62,65.71428571,83.5,82,82.69642857,78,27,42,20,5,11,42.125,15,22.57142857,90,48,69,25,0,2,danger,normal,normal
44,2011,32,31,31.42857143,24,22,23.42857143,26.875,26.25,26.71428571,41,39,40.42857143,28,26,27,32.625,31.75,32.16071429,29,10,16.14285714,5,2,3.428571429,10.875,6,7.803571429,2.9,0,0.757142857,0,0,0,0.3625,0,0.096428571,94,90,92.42857143,67,63,64.57142857,82.5,80.75,81.46428571,56,23,42.42857143,14,7,10,29.875,15.5,22.75,41,0,17.71428571,11,1,4,normal,normal,normal
45,2011,31,28,29.57142857,24,23,23.85714286,26.5,25.375,25.92857143,38,35,36.28571429,28,26,27.14285714,31.125,29.75,30.51785714,22,16,18.28571429,11,3,6.714285714,15.5,7.375,12.10714286,25.2,1.5,6.214285714,0,0,0,3.425,0.3125,0.975,98,93,96.28571429,83,66,74.85714286,92.75,85,88.67857143,100,48,78.71428571,39,21,27.57142857,68.5,36.25,52.01785714,48,7,27.57142857,13,2,7,normal,normal,normal
46,2011,31,30,30.85714286,23,22,22.57142857,26.625,25.75,26.21428571,39,37,38.14285714,27,24,26.14285714,32,30.25,31.32142857,17,10,12.14285714,3,1,2.428571429,9.25,5.875,7.142857143,5.1,0.4,2.028571429,0,0,0,0.75,0.05,0.292857143,96,93,94.28571429,71,64,67.85714286,87.25,83,84.57142857,89,25,51.71428571,21,5,14.57142857,36.375,18,27.16071429,97,55,76,4,3,1,normal,normal,normal
47,2011,31,29,30.42857143,24,22,22.85714286,26.5,25,26.03571429,39,34,37.14285714,27,26,26.14285714,31.75,28.5,30.48214286,45,12,22,11,1,4.857142857,18.75,7.875,11.67857143,1.4,0,0.728571429,0,0,0,0.2375,0,0.1125,96,89,91.85714286,74,59,65.28571429,85.875,78.625,81.80357143,100,39,64.85714286,38,7,15.57142857,57.25,21.875,33.375,97,55,76,5,2,4,normal,normal,normal
48,2011,31,30,30.71428571,23,22,22.57142857,26.625,25.25,26.125,39,36,37.71428571,27,25,26.42857143,32.25,29.75,31.14285714,20,10,14.42857143,6,1,2.571428571,10.125,5.25,7.357142857,3.1,0,0.985714286,0,0,0,0.5625,0,0.164285714,96,92,94.42857143,73,61,67,85.875,81,83.51785714,89,23,50,28,2,12.85714286,51.125,13.625,28.125,48,7,27.57142857,6,3,3,normal,normal,normal
49,2011,30,29,29.57142857,24,20,22,26.25,23.875,25.03571429,36,32,34.57142857,27,22,24,30.25,27.125,28.46428571,19,9,13.28571429,8,2,4.714285714,12.875,6.25,8.714285714,1.9,0,0.728571429,0,0,0,0.2375,0,0.116071429,97,84,92.71428571,68,63,65.57142857,85.625,76.125,82.39285714,100,42,73.57142857,43,7,25.57142857,73.75,20.75,46.41071429,34,0,14.85714286,0,1,3,normal,normal,normal
50,2011,31,26,29.28571429,23,19,21,26.25,23.25,24.46428571,38,29,33.85714286,26,20,22.57142857,30.5,24.875,27.35714286,33,12,19.71428571,11,1,6,18.25,6.5,11.92857143,4.7,0,0.942857143,0,0,0,0.5875,0,0.123214286,95,84,89.85714286,75,59,64.42857143,85.75,75,79.71428571,98,38,64.42857143,41,4,17.85714286,61.125,12.75,36.48214286,83,41,62,1,2,3,normal,normal,normal
51,2011,31,26,30,23,21,21.85714286,26.5,23,25.35714286,38,30,36,26,22,23.85714286,30.875,24.75,28.75,26,9,17.14285714,8,3,5.714285714,17,6.375,11.58928571,1.7,0,0.528571429,0,0,0,0.225,0,0.069642857,93,84,89.57142857,76,57,61.42857143,83.5,72.375,77.80357143,60,29,43.14285714,24,4,11.42857143,34.875,10.375,23.21428571,97,69,86,2,0,5,normal,normal,normal
52,2011,32,28,29.71428571,23,19,21.28571429,26.375,23.125,24.73214286,37,32,33.71428571,26,20,23.28571429,29.75,25.5,27.58928571,28,11,16.57142857,8,1,4,13.25,7.125,9.482142857,0.4,0,0.114285714,0,0,0,0.1,0,0.021428571,90,83,85.71428571,70,55,58.71428571,82.25,71.625,74.94642857,89,20,54.57142857,24,3,16.14285714,49.625,9.625,34.42857143,62,21,41.28571429,0,1,3,normal,normal,normal
1,2012,32,29,30.71428571,23,22,22.71428571,26.625,25.375,25.98214286,37,34,35.71428571,26,23,25.14285714,30.375,28.375,29.51785714,19,12,16.28571429,9,1,4,11.625,7.125,9.357142857,0.8,0,0.257142857,0,0,0,0.125,0,0.041071429,92,85,89.14285714,64,53,58,79.5,72.125,76.08928571,85,23,53.85714286,28,5,15.14285714,52.75,15.625,33.55357143,34,0,14.85714286,2,1,1,normal,normal,normal
2,2012,32,27,30.42857143,23,22,22.71428571,26.875,24.625,25.92857143,36,31,34.42857143,26,25,25.42857143,30,27.375,28.91071429,24,14,18,10,3,6.285714286,15.25,9.5,11.69642857,1.1,0,0.457142857,0,0,0,0.2125,0,0.080357143,89,76,82.71428571,67,50,54.85714286,75.625,67.875,71.91071429,84,45,66.14285714,31,13,20.85714286,53.75,30.75,42.03571429,83,41,62,0,2,3,normal,normal,normal
3,2012,33,32,32.14285714,24,22,23.14285714,26.875,26.25,26.55357143,37,35,36.14285714,27,25,26.14285714,30,29.25,29.82142857,36,18,24.71428571,13,7,10.42857143,17.625,12.375,15.5,8.3,0,2.514285714,0,0,0,1.0375,0,0.314285714,91,86,90.14285714,57,38,51.14285714,78.25,68.625,74.73214286,82,29,55.71428571,33,5,17.42857143,49.25,19.25,33.42857143,97,69,86,1,2,0,normal,normal,normal
4,2012,33,30,31.57142857,23,22,22.71428571,26.75,25.75,26.32142857,40,32,36.42857143,27,24,25.85714286,31.125,28.625,29.92857143,20,16,18.28571429,4,0,1.857142857,9.875,5.875,8.196428571,1.7,0,0.842857143,0,0,0,0.2375,0,0.121428571,92,84,86.85714286,54,48,51.57142857,74.625,69.75,72.03571429,100,22,56,15,5,9.571428571,54.25,13.125,28.46428571,62,21,41.28571429,0,0,0,normal,normal,normal
5,2012,33,32,32.42857143,24,23,23.71428571,27.375,26.625,27.08928571,39,36,37.14285714,27,26,26.71428571,32.375,29.875,30.98214286,21,14,16.14285714,10,2,5,13,7.5,10.17857143,5.1,0,1.5,0,0,0,0.6375,0,0.189285714,91,80,85.28571429,53,48,50.57142857,76.625,67.625,71.08928571,80,30,45.71428571,29,0,14.57142857,45.125,11.875,27.01785714,28,0,13,0,1,7,normal,normal,warning
6,2012,34,33,33.28571429,24,23,23.14285714,27.375,26.75,27.03571429,40,37,38.57142857,27,26,26.57142857,31.5,30.375,30.875,24,13,18.85714286,5,0,2.714285714,13.375,9,10.58928571,2.4,0,0.642857143,0,0,0,0.3,0,0.085714286,91,78,84.71428571,51,44,46.85714286,72.5,65.75,69.53571429,57,33,44.14285714,11,5,7.571428571,29.5,16.75,20.625,76,34,55,0,0,20,normal,normal,warning
7,2012,33,31,32.14285714,24,23,23.57142857,27.5,25.75,26.85714286,39,34,37.14285714,27,26,26.57142857,31.875,28.875,30.44642857,26,14,19.14285714,9,2,3.285714286,15,7.5,9.232142857,14.4,0,2.528571429,0,0,0,1.8625,0,0.332142857,93,81,86.42857143,59,46,51.71428571,80.375,66.5,72,92,28,63.28571429,36,8,15.71428571,61.875,18.75,32.44642857,97,76,88,0,0,22,normal,normal,danger
8,2012,34,31,32.85714286,25,21,23.14285714,27.75,25.75,27.08928571,42,34,38.42857143,28,22,26,32.125,27.875,30.78571429,25,14,20.14285714,11,0,6,18.25,8.75,12.44642857,8.8,0,1.8,0,0,0,1.1,0,0.248214286,94,76,86.42857143,59,47,50.42857143,77.625,64.625,72.10714286,86,26,57.57142857,28,5,11,43.25,12.75,28.55357143,69,28,48.14285714,2,0,18,normal,normal,warning
9,2012,36,33,34.42857143,25,24,24.28571429,29,27.375,28.125,41,39,39.85714286,29,27,27.57142857,32.75,31,31.98214286,28,16,22.14285714,14,3,7.142857143,18.125,12,13.94642857,2.1,0,0.842857143,0,0,0,0.2625,0,0.105357143,92,77,84.28571429,50,39,44.85714286,73.5,62.625,67.98214286,64,14,37.57142857,13,3,7,28.25,8.625,19.28571429,21,0,9,0,4,15,normal,normal,warning
10,2012,36,34,34.85714286,25,24,24.57142857,29,28,28.57142857,42,38,39.42857143,29,26,28.14285714,33,31.375,32.41071429,30,21,25,12,6,9.142857143,17.125,14.375,15.73214286,3.3,0,0.928571429,0,0,0,0.4125,0,0.116071429,93,80,87.42857143,48,35,41.71428571,71.75,61.5,68.14285714,65,14,36.85714286,21,2,10.28571429,36.5,7.375,22.57142857,62,21,41.28571429,0,2,20,normal,normal,danger
11,2012,37,35,36,26,25,25.28571429,30.375,28.75,29.55357143,41,38,40.28571429,30,27,28.71428571,34.125,32.375,33.32142857,24,16,19.28571429,10,1,3.714285714,13.5,9.125,10.64285714,3.1,0,0.771428571,0,0,0,0.3875,0,0.1,84,68,74.85714286,42,30,35.28571429,67.125,54,58.66071429,97,18,44.14285714,20,0,8,38.25,10.75,21.71428571,97,69,86,0,4,16,normal,normal,warning
12,2012,35,34,34.42857143,25,24,24.71428571,28.75,28.25,28.60714286,41,38,39.71428571,29,28,28.42857143,33.75,32,32.75,23,14,18.28571429,11,2,6.857142857,14.625,9,11.71428571,3.8,0,1.685714286,0,0,0,0.475,0,0.273214286,87,83,84.85714286,49,37,44.28571429,71.375,64.125,68.48214286,72,16,50,29,4,17.14285714,42,10.5,31.25,83,41,62,1,0,12,normal,normal,warning
13,2012,36,35,35.42857143,26,25,25.71428571,30.125,29,29.53571429,42,38,40.14285714,31,29,29.71428571,35.5,32.875,33.91071429,24,8,16.71428571,7,1,3,14.75,5.5,9.053571429,10.8,0,1.828571429,0,0,0,1.5375,0,0.255357143,82,74,78,42,32,38.71428571,68.625,56.625,62.26785714,100,13,51.57142857,35,3,10.71428571,50.5,8.25,26.07142857,34,0,14.85714286,0,0,12,normal,normal,warning
14,2012,34,24,31.71428571,25,23,24,28.5,23.625,27.17857143,39,27,35.85714286,29,26,27.57142857,33,26.125,30.92857143,35,18,23.57142857,18,7,10.85714286,26.125,12.875,16.17857143,11.4,0,2.728571429,0,0,0,4.1125,0,0.751785714,95,85,90.42857143,84,42,54.71428571,89.875,66.75,75.46428571,100,16,48.14285714,56,5,18.57142857,90.25,9.875,33.82142857,48,7,27.57142857,0,0,11,normal,normal,warning
15,2012,36,35,35.42857143,26,25,25.28571429,29.5,29.125,29.28571429,41,39,39.85714286,30,29,29.57142857,33.625,33,33.42857143,29,18,23,12,7,9,16.375,10.875,14.25,6.1,0,1.6,0,0,0,0.8,0,0.205357143,88,79,82.57142857,46,39,42.57142857,68.875,61.875,65.96428571,76,42,60.14285714,29,8,14,43.375,20.75,28.33928571,97,55,76,1,1,10,normal,normal,warning
16,2012,37,35,35.57142857,27,25,25.85714286,30.5,29.25,29.83928571,44,39,40.85714286,31,30,30.28571429,35.625,33.75,34.76785714,23,14,20.14285714,12,2,7,15.25,10.5,12.78571429,3.9,0,0.628571429,0,0,0,0.5625,0,0.089285714,90,76,84.85714286,48,40,43.85714286,70.375,62.25,66.44642857,65,22,38.14285714,14,6,9.714285714,33.625,15.375,22.05357143,97,55,76,1,3,16,normal,normal,danger
17,2012,35,31,34,27,25,26,29.75,28.125,29.23214286,43,37,41.14285714,32,29,30.85714286,36.25,33.375,35.05357143,29,16,24,8,2,4.857142857,13.25,10.25,11.875,10.9,3,4.842857143,0,0,0,1.4,0.45,0.694642857,88,83,85.42857143,59,48,51.14285714,77.375,70.125,72.01785714,89,31,55,34,8,15.71428571,58,18.75,32.28571429,48,7,27.57142857,0,8,10,normal,normal,warning
18,2012,35,32,34,27,26,26.14285714,30.125,28.75,29.51785714,43,39,40.85714286,33,31,31.71428571,37,34.625,35.75,27,15,20.42857143,9,5,6.428571429,13.75,9.5,11.46428571,8.8,0,3.028571429,0,0,0,1.125,0,0.416071429,89,83,86.42857143,61,48,51.71428571,76.75,68,71.83928571,74,16,41.71428571,20,6,12.85714286,46.375,11.625,25.19642857,41,0,19.71428571,0,3,7,normal,normal,normal
19,2012,35,33,33.71428571,26,25,25.57142857,29.25,28.125,28.76785714,43,39,40.57142857,33,29,30.57142857,36,33.25,34.78571429,27,14,21.14285714,7,3,4.857142857,13,9.125,10.98214286,10.8,0.7,4.028571429,0,0,0,1.525,0.0875,0.560714286,92,85,88.28571429,60,50,54.71428571,79.625,72.125,75.66071429,100,40,62.28571429,43,4,15.71428571,72.875,18.125,34.76785714,90,48,69,0,9,8,normal,warning,normal
20,2012,34,28,31.42857143,26,24,25,29.125,26.25,27.66071429,41,33,37.57142857,31,28,29.42857143,35.5,30.25,32.76785714,35,13,24.42857143,9,1,5.714285714,14.625,9.75,12.67857143,11.6,0.9,3.471428571,0,0,0,1.5125,0.2125,0.555357143,95,90,92.85714286,76,55,64.14285714,84.875,76.875,81.23214286,95,51,73.28571429,45,16,26.71428571,67.125,30.375,49.17857143,97,62,82,0,13,5,normal,danger,normal
21,2012,35,31,33,26,25,25.85714286,29.5,27.5,28.75,41,39,40,32,29,30.57142857,35.5,33,34.42857143,24,19,20.85714286,12,8,10.57142857,17.25,13.125,14.96428571,4.7,0.2,1.614285714,0,0,0,0.8875,0.025,0.310714286,92,87,89.85714286,66,48,58.85714286,83.875,71,77.32142857,100,41,67.85714286,35,7,19.42857143,52.875,20.25,37.125,55,14,34.42857143,1,10,4,normal,warning,normal
22,2012,34,31,32.85714286,26,25,25.42857143,28.875,27.5,28.32142857,42,37,40.28571429,31,29,30,35.375,32.375,34.07142857,28,14,19.57142857,10,7,8.857142857,16.75,11,13,11.4,0.6,5.214285714,0,0,0,1.925,0.0875,0.930357143,96,87,90.57142857,67,54,59.85714286,85.75,74.5,78.98214286,100,51,77,39,20,27,67,31.375,47.82142857,28,0,11,0,19,4,normal,warning,normal
23,2012,33,30,31.57142857,25,25,25,28.125,27.25,27.69642857,40,37,38.57142857,30,29,29.28571429,33.75,32.375,33.07142857,25,20,22.14285714,15,6,11.57142857,18.25,14.125,16.60714286,5,0.8,2.442857143,0,0,0,1.3375,0.1375,0.492857143,95,91,93.28571429,72,63,68,85.75,80.625,83.80357143,93,45,79.71428571,42,19,29,62.875,38,51.875,76,34,55,0,26,7,normal,danger,normal
24,2012,33,30,32,25,24,24.57142857,28.125,26.75,27.67857143,40,36,38.28571429,29,27,28.14285714,33.375,31.25,32.55357143,28,19,23.71428571,16,10,13,22.75,15,18.32142857,6.9,0.6,2.671428571,0,0,0,1.325,0.125,0.575,95,89,92,71,57,63.42857143,83.25,76.75,79.80357143,74,36,48.28571429,24,9,12.85714286,33.375,20.75,26.69642857,97,76,88,0,22,6,normal,warning,normal
25,2012,33,29,31.71428571,25,24,24.85714286,28.125,26.75,27.57142857,39,34,37.28571429,29,28,28.42857143,33.5,30.875,32.125,28,16,23.42857143,19,9,14,22.5,12.125,18.21428571,2.8,0,1.328571429,0,0,0,0.7375,0,0.2625,93,89,90.85714286,73,55,60.85714286,82.625,76.5,78.80357143,78,26,51.14285714,29,10,18.71428571,49.5,17.5,32.46428571,69,28,48.14285714,0,24,3,normal,warning,normal
26,2012,34,28,32.14285714,25,24,24.28571429,28.25,25.625,27.33928571,41,32,37.71428571,28,27,27.85714286,33.25,29.5,31.75,31,18,23.57142857,16,6,11.85714286,22,14.5,17.32142857,7.2,1.7,3.9,0,0,0,2.4125,0.225,0.892857143,97,90,94.14285714,77,51,59.28571429,90,75.625,81.05357143,100,30,66.85714286,52,5,22.57142857,76.375,20,44.33928571,21,0,9,0,31,6,normal,danger,normal
27,2012,31,30,30.42857143,26,24,24.57142857,27.375,26.375,27.01785714,39,35,37.28571429,30,27,28.28571429,32.875,30.25,31.80357143,24,16,20,18,4,10.57142857,19.875,11.625,14.89285714,4.9,0,2.928571429,0,0,0,2.1625,0,0.9375,96,91,93.85714286,73,66,68.85714286,85,81.625,84.05357143,86,68,79.57142857,47,24,35.14285714,64,42,52.83928571,69,28,48.14285714,0,19,1,normal,warning,normal
28,2012,32,30,31,26,24,24.71428571,27.625,25.75,27.01785714,40,36,38.42857143,30,27,28.14285714,33.375,30.375,32.21428571,24,14,17.85714286,8,3,5.571428571,12.125,9.375,10.76785714,8.5,0,2.728571429,0,0,0,1.5125,0,0.444642857,97,91,94,73,61,67.42857143,90,81.375,84.875,100,50,88,48,12,26.42857143,68.375,31.75,51.05357143,97,76,88,0,16,5,normal,normal,normal
29,2012,33,30,31.71428571,25,24,24.85714286,28.25,26.75,27.55357143,43,35,39.28571429,30,28,28.71428571,34.5,31,32.75,27,17,21.28571429,11,6,8.428571429,15.5,11.125,13.16071429,4.3,0,1.328571429,0,0,0,0.6625,0,0.216071429,96,92,93.57142857,71,59,64.28571429,85.5,77.75,82.32142857,97,46,81.28571429,37,10,20.57142857,54.875,26.5,43.53571429,76,34,55,0,13,0,normal,normal,normal
30,2012,33,29,31.71428571,25,24,24.42857143,28,26,27.23214286,38,34,37.14285714,28,27,27.57142857,32.125,29.875,31.53571429,30,17,23.28571429,19,9,14.42857143,24.125,13.5,18.73214286,3.6,0,1.028571429,0,0,0,0.5125,0,0.153571429,95,88,91.71428571,73,55,61.42857143,88,75.5,80.16071429,100,25,73.14285714,39,4,15.42857143,71.5,14.375,37.94642857,28,0,11,0,10,6,normal,normal,normal
31,2012,33,27,30.28571429,25,24,24.28571429,27.875,25.25,26.57142857,38,30,34,28,27,27.14285714,32.125,28.5,30,35,24,28.42857143,19,10,15.71428571,24.375,18.75,21.94642857,1.7,0.2,0.914285714,0,0,0,0.45,0.025,0.228571429,94,89,91.85714286,82,50,63.57142857,87.875,73.625,80.28571429,100,54,75.28571429,81,17,31,93.5,36.625,52.89285714,55,14,34.42857143,0,6,1,normal,normal,normal
32,2012,34,31,33.14285714,25,24,24.42857143,28.375,27.25,28.03571429,39,37,38.28571429,29,28,28.28571429,32.75,31.75,32.28571429,30,18,23.85714286,21,11,14.85714286,24.5,15.125,19.41071429,2.6,0,0.814285714,0,0,0,0.525,0,0.176785714,94,88,92,67,48,53.85714286,82.375,72.875,75.55357143,80,27,44.71428571,41,7,13.42857143,60,17.75,27.44642857,97,62,82,0,2,0,normal,normal,normal
33,2012,34,31,32.28571429,26,24,24.71428571,28.75,27,27.71428571,40,37,38.57142857,29,28,28.42857143,33.5,31.75,32.41071429,25,22,23.28571429,18,9,12.85714286,20.375,15.375,17.41071429,6.7,0,2.928571429,0,0,0,0.8375,0,0.410714286,95,88,91.57142857,70,52,61,84.75,73.375,79.30357143,84,33,59.14285714,25,8,16.71428571,41.5,26.5,34.625,90,48,69,0,4,8,normal,normal,normal
