weeks,year,temp_num_max_max,temp_num_max_min,temp_num_max_mean,temp_num_min_max,temp_num_min_min,temp_num_min_mean,temp_num_mean_max,temp_num_mean_min,temp_num_mean_mean,feels_num_max_max,feels_num_max_min,feels_num_max_mean,feels_num_min_max,feels_num_min_min,feels_num_min_mean,feels_num_mean_max,feels_num_mean_min,feels_num_mean_mean,gust_num_max_max,gust_num_max_min,gust_num_max_mean,gust_num_min_max,gust_num_min_min,gust_num_min_mean,gust_num_mean_max,gust_num_mean_min,gust_num_mean_mean,rain_num_max_max,rain_num_max_min,rain_num_max_mean,rain_num_min_max,rain_num_min_min,rain_num_min_mean,rain_num_mean_max,rain_num_mean_min,rain_num_mean_mean,humid_num_max_max,humid_num_max_min,humid_num_max_mean,humid_num_min_max,humid_num_min_min,humid_num_min_mean,humid_num_mean_max,humid_num_mean_min,humid_num_mean_mean,cloud_num_max_max,cloud_num_max_min,cloud_num_max_mean,cloud_num_min_max,cloud_num_min_min,cloud_num_min_mean,cloud_num_mean_max,cloud_num_mean_min,cloud_num_mean_mean,illum_max,illum_min,illum_mean,Ah1n1,Ah3,B,Label_AH1N1,Label_AH3,Label_B
11,2009,36,32,34,27,25,26,29.75,28.5,29.14285714,40,35,37.28571429,29,27,28.57142857,33.125,31.375,32.19642857,22,11,16.57142857,10,1,4.714285714,13.875,6.75,9.732142857,1,0,0.271428571,0,0,0,0.1375,0,0.035714286,82,70,73.42857143,45,36,40.42857143,63.875,56.125,59.21428571,84,48,59.42857143,33,11,20.57142857,60.375,28,38.92857143,76,34,55,,8,15,normal,normal,warning
12,2009,36,34,34.85714286,26,24,25.28571429,30.125,28.875,29.44642857,40,37,38.28571429,30,28,29.28571429,34.5,32.375,33.125,23,14,17.85714286,8,2,4.714285714,15.375,8,11.03571429,0.7,0,0.157142857,0,0,0,0.0875,0,0.023214286,86,74,82.57142857,44,35,39.42857143,64.375,59.625,61.42857143,78,23,49.42857143,21,4,13.85714286,42.75,12.625,29.10714286,97,76,88,,11,16,normal,warning,warning
13,2009,37,33,35,26,25,25.57142857,30.375,28.375,29.5,42,37,38.42857143,30,28,29,34.25,32,33.08928571,21,13,16.28571429,8,2,5.142857143,13.625,7.5,10.41071429,2.2,0,0.628571429,0,0,0,0.275,0,0.080357143,86,67,77,47,29,37.14285714,64.875,56,59.875,61,25,47.42857143,23,3,13.14285714,38.625,13,28.39285714,69,28,48.14285714,,15,19,normal,warning,danger
14,2009,36,32,33.42857143,25,25,25,29,27.125,28.33928571,41,36,38.42857143,31,28,29.14285714,34.125,31.875,32.83928571,22,14,17.28571429,7,3,5.285714286,12.75,8.375,10.42857143,7.4,0,4.085714286,0,0,0,1.8,0,0.667857143,92,79,86.42857143,61,40,49.71428571,81.625,64.75,72.01785714,78,46,62.14285714,36,8,20.14285714,53,26,38.39285714,21,0,9,,21,13,normal,danger,warning
15,2009,35,31,33.14285714,26,25,25.42857143,29.75,27.375,28.73214286,41,38,39.28571429,31,29,30.28571429,34.875,33.25,34.14285714,18,9,12.85714286,10,1,4.428571429,12.125,6.125,8.446428571,5.3,1.3,2.4,0,0,0,1.05,0.1625,0.5375,96,78,87.28571429,66,45,54.14285714,82.5,66.5,73.92857143,72,41,57.57142857,27,6,15.28571429,40.625,29.375,33.53571429,62,21,41.28571429,,20,15,normal,warning,danger
16,2009,34,32,32.57142857,26,25,25.57142857,29.125,28.125,28.55357143,43,39,40.57142857,31,30,30.85714286,35.625,34.375,35.05357143,24,13,18.85714286,11,4,6.428571429,15.25,9.5,11.89285714,7.3,0.7,4.071428571,0,0,0,1.0375,0.1625,0.6375,94,90,92.85714286,68,53,60.85714286,83,74.125,79.73214286,75,34,46.42857143,25,6,16.57142857,34.875,17.875,27.30357143,97,69,86,,30,7,normal,danger,warning
17,2009,32,29,30.71428571,25,24,24.85714286,28.125,26.625,27.42857143,39,37,38.14285714,31,28,29.42857143,34,32.5,33.33928571,26,10,17.42857143,7,3,5.428571429,13.75,7.625,10.19642857,9.1,1.9,5.271428571,0,0,0,2.15,0.3,1.039285714,96,94,95.28571429,80,63,71.42857143,90.25,81.125,85.71428571,81,37,60.57142857,38,14,25.28571429,49.125,30.5,41.17857143,83,41,62,,19,13,normal,warning,warning
18,2009,33,26,30.14285714,25,23,24.28571429,28,25.125,26.67857143,40,31,37.14285714,30,27,28.42857143,33.375,29,31.78571429,21,11,15.28571429,4,0,1.571428571,10,5.125,6.946428571,9.5,1.3,4.014285714,0,0,0,1.3375,0.225,0.708928571,96,92,94.42857143,87,54,70,93,77.5,86.125,100,45,77.42857143,41,21,29.71428571,63.75,35.125,51.23214286,34,0,11.85714286,,59,16,normal,warning,warning
19,2009,31,29,30.42857143,25,24,24.85714286,27.625,26.75,27.21428571,40,36,37.85714286,30,28,29.14285714,33.75,32.125,32.91071429,15,11,13.42857143,8,3,5.714285714,11,7.375,9.285714286,7.6,0.4,2.842857143,0,0,0,1.05,0.075,0.471428571,97,93,95.57142857,80,67,72.42857143,89.375,83,86.51785714,72,53,63,35,13,25.14285714,52.5,31.5,42.69642857,55,14,34.42857143,,61,20,normal,warning,danger
20,2009,32,30,31,25,25,25,27.75,27.125,27.51785714,41,38,39.14285714,30,29,29.28571429,34.375,32.875,33.53571429,23,10,16.28571429,10,4,6.571428571,14.125,7.375,11.03571429,5.1,0.1,1.828571429,0,0,0,0.825,0.0125,0.2875,97,93,95.42857143,80,63,69.57142857,89.375,82.75,85.48214286,68,38,50,39,14,24.28571429,50.125,25.875,34.03571429,97,62,82,,74,12,normal,danger,warning
