Textbox2,Textbox7,,,
Viet Nam,� World Health Organization 2020,,,
,,,,
Year,Week,AH1N1,AH3,B
2014,33,0,3,5
2014,34,0,1,3
2014,35,0,0,5
2014,36,0,0,2
2014,37,0,1,4
2014,38,0,4,13
2014,39,0,0,16
2014,40,0,2,20
2014,41,0,2,11
2014,42,0,0,11
2014,43,0,0,14
2014,44,0,1,15
2014,45,0,2,18
2014,46,0,1,1
2014,47,0,2,12
2014,48,0,1,11
2014,49,3,2,12
2014,50,1,3,13
2014,51,1,0,22
2014,52,1,1,5
2015,1,2,0,1
2015,2,1,0,1
2015,3,0,2,0
2015,4,0,7,0
2015,5,1,1,1
2015,6,0,3,1
2015,7,1,3,0
2015,8,0,1,0
2015,9,0,0,0
2015,10,1,1,1
2015,11,1,2,1
2015,12,16,4,4
2015,13,18,8,1
2015,14,8,3,1
2015,15,5,4,1
2015,16,9,6,2
2015,17,4,6,2
2015,18,6,6,2
2015,19,3,0,0
2015,20,9,4,6
2015,21,6,7,2
2015,22,3,5,0
2015,23,4,5,1
2015,24,1,11,2
2015,25,3,10,0
2015,26,4,17,1
2015,27,0,12,0
2015,28,0,17,0
2015,29,1,24,1
2015,30,0,13,1
2015,31,0,18,0
2015,32,0,18,0
2015,33,2,20,0
2015,34,0,19,0
2015,35,0,26,0
2015,36,0,10,1
2015,37,0,14,0
2015,38,0,13,1
2015,39,0,13,0
2015,40,2,9,0
2015,41,1,9,0
2015,42,0,18,0
2015,43,0,17,1
2015,44,0,9,3
2015,45,1,16,0
2015,46,0,7,0
2015,47,0,10,0
2015,48,0,10,0
2015,49,0,13,3
2015,50,0,5,1
2015,51,2,2,0
2015,52,0,0,0
2015,53,0,2,2
2016,1,0,0,1
2016,2,0,0,0
2016,3,0,0,0
2016,4,0,0,0
2016,5,0,0,1
2016,6,0,0,0
2016,7,0,0,0
2016,8,0,0,1
2016,9,1,1,4
2016,10,5,0,3
2016,11,5,0,6
2016,12,0,0,2
2016,13,4,0,2
2016,14,2,0,1
2016,15,6,0,7
2016,16,3,0,1
2016,17,3,2,2
2016,18,3,0,3
2016,19,7,1,6
2016,20,14,2,6
2016,21,10,2,12
2016,22,11,4,7
2016,23,7,3,4
2016,24,9,6,6
2016,25,4,7,11
2016,26,1,5,3
2016,27,4,8,2
2016,28,3,11,2
2016,29,1,3,5
